DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
18-Feb-2026,EQ,"774.60","798.00","773.60","774.60","798.00","795.95","790.95","798.00","577.85",2437994,"1,92,83,32,811.90",49197
17-Feb-2026,EQ,"773.70","776.75","770.85","772.85","774.65","774.60","773.43","780.00","577.85",684887,"52,97,14,024.70",28165
16-Feb-2026,EQ,"762.55","774.00","757.00","760.15","772.00","772.85","769.36","780.00","577.85",731192,"56,25,50,633.10",23845
13-Feb-2026,EQ,"769.00","771.85","757.85","770.65","760.40","760.15","763.46","780.00","577.85",966405,"73,78,12,256.80",40160
12-Feb-2026,EQ,"770.40","773.15","768.10","770.40","771.75","770.65","770.61","780.00","577.85",1374355,"1,05,90,86,946.65",73629
11-Feb-2026,EQ,"765.60","772.25","762.70","764.85","770.00","770.40","769.21","780.00","577.85",1100783,"84,67,36,877.80",52208
10-Feb-2026,EQ,"755.70","766.20","749.40","754.85","762.60","764.85","759.66","780.00","577.85",1514663,"1,15,06,28,469.35",61272
09-Feb-2026,EQ,"758.00","758.00","751.10","752.75","753.00","754.85","754.66","780.00","577.85",1609570,"1,21,46,72,329.10",46232
06-Feb-2026,EQ,"752.20","753.35","740.60","748.30","752.45","752.75","748.44","780.00","577.85",1737323,"1,30,02,85,301.35",41304
05-Feb-2026,EQ,"738.00","749.65","731.50","733.40","748.90","748.30","744.23","780.00","577.85",2400386,"1,78,64,39,103.80",58343
04-Feb-2026,EQ,"731.85","741.35","724.65","732.85","730.10","733.40","735.69","780.00","577.85",1287885,"94,74,83,791.10",31521
03-Feb-2026,EQ,"735.00","742.65","722.85","722.40","729.55","732.85","732.56","780.00","577.85",2982558,"2,18,49,11,822.85",79467
02-Feb-2026,EQ,"725.00","726.35","708.30","720.65","720.70","722.40","722.14","780.00","577.85",3074659,"2,22,03,35,791.20",52748
01-Feb-2026,EQ,"733.30","734.50","716.80","729.80","720.80","720.65","726.48","780.00","577.85",574440,"41,73,18,167.45",12551
30-Jan-2026,EQ,"725.00","735.00","719.05","729.95","730.00","729.80","727.70","780.00","577.85",4195864,"3,05,33,23,624.50",52667
29-Jan-2026,EQ,"734.00","735.85","725.10","736.65","730.00","729.95","729.34","780.00","577.85",1159830,"84,59,05,167.55",37905
28-Jan-2026,EQ,"754.00","756.00","721.35","745.80","735.15","736.65","735.78","780.00","577.85",5105125,"3,75,62,44,507.95",97948
27-Jan-2026,EQ,"752.70","752.70","741.05","740.95","746.70","745.80","745.31","780.00","577.85",2681953,"1,99,88,75,167.60",76409
23-Jan-2026,EQ,"751.75","754.00","738.85","751.75","742.00","740.95","743.98","780.00","577.85",1755248,"1,30,58,63,628.00",59201
22-Jan-2026,EQ,"750.00","757.45","747.00","747.95","751.00","751.75","752.85","780.00","577.85",2527936,"1,90,31,60,443.80",37872
21-Jan-2026,EQ,"748.05","752.70","740.60","749.55","747.00","747.95","745.95","780.00","577.85",1338880,"99,87,39,922.65",43228
20-Jan-2026,EQ,"762.00","762.90","746.75","760.60","750.90","749.55","754.93","780.00","577.85",1100332,"83,06,72,407.40",41516
19-Jan-2026,EQ,"760.00","765.05","752.65","760.15","759.75","760.60","758.57","780.00","577.85",1167269,"88,54,59,157.15",24866
16-Jan-2026,EQ,"758.15","764.30","749.80","749.80","758.80","760.15","759.66","780.00","577.85",2731620,"2,07,51,09,589.85",61640
14-Jan-2026,EQ,"753.15","758.40","747.10","756.05","749.00","749.80","753.01","780.00","577.85",720895,"54,28,37,780.50",30907
13-Jan-2026,EQ,"756.90","760.50","751.70","756.20","754.20","756.05","754.99","780.00","577.85",1397021,"1,05,47,34,336.35",45638
